player,age,position,team,played_whole_season,games_played,minutes_played,total_points,field_goals,field_goals_attempted,free_throws,free_throws_attempted,assists,rebounds,steals,blocks,turnovers,personal_fouls
Quincy Acy,24,PF,NYK,true,68,1287,398,152,331,76,97,68,301,27,22,60,147
Jordan Adams,20,SG,MEM,true,30,248,94,35,86,14,23,16,28,16,7,14,24
Steven Adams,21,C,OKC,true,70,1771,537,217,399,103,205,66,523,38,86,99,222
Jeff Adrien,28,PF,MIN,true,17,215,60,19,44,22,38,15,77,4,9,9,30
Arron Afflalo,29,SG,DEN,false,53,1750,771,281,657,127,151,101,180,32,5,83,108
Arron Afflalo,29,SG,POR,false,25,752,264,94,227,40,47,28,67,9,2,33,59
Alexis Ajinca,26,C,NOP,true,68,957,443,181,329,81,99,47,315,21,51,69,151
Furkan Aldemir,23,PF,PHI,true,41,540,93,40,78,13,27,28,176,17,16,17,96
Cole Aldrich,26,C,NYK,true,61,976,338,144,301,50,64,75,338,37,65,59,122
LaMarcus Aldridge,29,PF,POR,true,71,2512,1661,659,1415,306,362,124,726,48,68,122,125
Lavoy Allen,25,PF,IND,true,63,1070,315,141,299,33,47,73,323,15,42,40,102
Tony Allen,33,SG,MEM,true,63,1648,539,225,455,79,126,86,280,129,30,86,166
Al-Farouq Aminu,24,SF,DAL,true,74,1366,412,147,357,84,118,59,342,70,62,55,137
Lou Amundson,32,PF,CLE,false,12,79,11,4,12,3,5,5,20,1,0,5,11
Lou Amundson,32,PF,NYK,false,41,858,248,105,243,38,82,65,248,21,52,57,115
Chris Andersen,36,C,MIA,true,60,1132,320,120,207,76,114,43,299,26,61,40,88
Alan Anderson,32,SG,BRK,true,74,1744,545,195,440,82,101,83,204,56,5,60,148
Kyle Anderson,21,SF,SAS,true,33,358,74,31,89,9,14,28,72,15,7,10,28
Ryan Anderson,26,PF,NOP,true,61,1675,833,291,729,129,151,55,295,33,20,62,113
Giannis Antetokounmpo,20,SG,MIL,true,81,2541,1030,383,780,257,347,207,542,73,85,173,254
Carmelo Anthony,30,SF,NYK,true,40,1428,966,358,806,189,237,122,264,40,17,89,87
Joel Anthony,32,C,DET,true,49,406,87,36,62,15,22,5,93,12,49,12,55
Pero Antic,32,PF,ATL,true,63,1037,356,108,296,88,123,49,189,18,14,49,132
Trevor Ariza,29,SF,HOU,true,82,2930,1048,366,910,122,143,209,459,152,17,141,186
Darrell Arthur,26,PF,DEN,true,58,988,382,155,384,46,59,57,171,48,26,47,146
Omer Asik,28,C,NOP,true,76,1982,557,213,412,131,225,72,748,29,54,95,144
D.J. Augustin,27,PG,DET,false,54,1287,574,189,461,147,169,265,100,33,2,110,61
D.J. Augustin,27,PG,OKC,false,28,677,203,69,186,31,36,88,61,16,1,35,32
Jeff Ayres,27,PF,SAS,true,51,383,137,55,95,27,36,14,117,8,8,26,60
Luke Babbitt,25,SF,NOP,true,63,830,256,92,192,13,19,24,111,17,11,26,63
Cameron Bairstow,24,PF,CHI,true,18,64,10,3,14,4,5,1,8,2,1,3,8
Leandro Barbosa,32,SG,GSW,true,66,982,467,183,386,58,74,99,91,41,8,44,87
J.J. Barea,30,PG,DAL,true,77,1362,580,225,536,76,94,263,134,33,1,70,104
Andrea Bargnani,29,C,NYK,true,29,785,430,164,361,87,107,46,127,2,27,42,53
Harrison Barnes,22,SF,GSW,true,82,2318,827,316,656,108,150,116,453,61,19,71,146
Matt Barnes,34,SF,LAC,true,76,2271,764,277,624,74,95,114,302,67,50,87,240
Earl Barron,33,C,PHO,true,16,143,32,12,39,6,12,5,28,4,2,5,26
Will Barton,24,SG,POR,false,30,300,90,38,100,10,15,27,34,14,4,17,20
Will Barton,24,SG,DEN,false,28,683,307,112,253,64,79,54,128,34,15,44,50
Brandon Bass,29,PF,BOS,true,82,1929,866,344,683,169,214,104,398,41,32,83,140
Nicolas Batum,26,SF,POR,true,71,2380,664,240,600,84,98,341,416,78,40,132,106
Jerryd Bayless,26,PG,MIL,true,77,1717,598,220,516,121,137,233,211,59,12,133,163
Aron Baynes,28,C,SAS,true,70,1122,461,185,327,90,104,35,318,16,22,65,162
Kent Bazemore,25,SG,ATL,true,75,1324,390,141,331,60,100,78,222,52,33,73,127
Bradley Beal,21,SG,WAS,true,63,2107,962,363,851,130,166,194,241,76,18,123,136
Michael Beasley,26,SF,MIA,true,24,505,212,92,212,20,26,32,89,15,13,37,66
Marco Belinelli,28,SG,SAS,true,62,1388,568,199,470,84,99,94,157,31,3,61,85
Jerrelle Benimon,23,PF,UTA,true,2,3,0,0,0,0,0,0,3,0,0,1,0
Anthony Bennett,21,PF,MIN,true,57,894,298,125,297,41,64,48,216,27,16,36,87
Patrick Beverley,26,PG,HOU,true,56,1727,568,204,532,45,60,192,237,59,23,83,182
Sim Bhullar,22,C,SAC,true,3,3,2,1,2,0,0,1,1,0,1,0,0
Bismack Biyombo,22,C,CHO,true,64,1243,304,101,186,102,175,16,407,18,99,52,140
Tarik Black,23,C,HOU,false,25,393,105,45,83,15,29,8,127,6,2,19,56
Tarik Black,23,C,LAL,false,38,803,274,112,190,50,89,34,241,13,22,29,102
DeJuan Blair,25,PF,WAS,true,29,180,56,26,57,4,6,3,56,7,1,13,41
Steve Blake,34,PG,POR,true,81,1529,350,122,327,29,41,288,137,41,5,104,118
Eric Bledsoe,25,PG,PHO,true,81,2800,1377,468,1046,353,441,493,423,127,45,274,189
Vander Blue,22,SG,LAL,true,2,74,22,9,30,2,5,8,9,3,0,6,4
Bojan Bogdanovic,25,SF,BRK,true,78,1854,700,261,576,87,106,68,213,34,9,78,104
Andrew Bogut,30,C,GSW,true,67,1583,422,200,355,22,42,180,543,39,113,106,188
Matt Bonner,34,PF,SAS,true,72,935,264,94,230,30,37,47,115,10,12,11,65
Trevor Booker,27,PF,UTA,true,79,1564,567,226,464,86,148,83,397,43,41,88,144
Carlos Boozer,33,PF,LAL,true,71,1692,836,371,743,94,150,95,482,41,12,92,184
Chris Bosh,30,C,MIA,true,44,1556,928,343,745,179,232,95,310,41,25,95,69
Avery Bradley,24,SG,BOS,true,77,2428,1071,434,1012,79,100,135,241,82,15,109,177
Elton Brand,35,PF,ATL,true,36,486,96,42,95,12,23,22,100,17,25,18,54
Corey Brewer,28,SF,MIN,false,24,680,251,94,225,55,78,78,94,54,4,50,62
Corey Brewer,28,SF,HOU,false,56,1407,666,249,580,113,148,95,203,60,15,81,111
Aaron Brooks,30,PG,CHI,true,82,1885,954,344,817,145,174,261,166,54,15,157,189
Jabari Brown,22,SG,LAL,true,19,568,227,70,170,64,85,40,36,12,2,32,33
Lorenzo Brown,24,PG,MIN,true,29,549,122,52,122,12,19,90,70,28,6,30,49
Markel Brown,23,SG,BRK,true,47,781,216,76,210,47,57,39,107,31,12,27,57
Shannon Brown,29,SG,MIA,true,5,89,20,7,19,3,4,3,1,4,0,4,8
Kobe Bryant,36,SG,LAL,true,35,1207,782,266,713,196,241,197,199,47,7,128,65
Chase Budinger,26,SF,MIN,true,67,1286,457,169,390,67,81,64,198,44,10,49,72
Reggie Bullock,23,SF,LAC,false,25,263,65,23,54,4,5,6,40,9,2,6,17
Reggie Bullock,23,SF,PHO,false,11,75,4,1,16,2,4,2,10,1,2,2,2
Trey Burke,22,PG,UTA,true,76,2288,973,370,1005,109,145,328,204,65,15,124,119
Alec Burks,23,SG,UTA,true,27,899,374,121,300,106,129,82,114,17,5,52,64
Caron Butler,34,SF,DET,true,78,1623,460,161,396,55,61,79,196,43,4,49,120
Jimmy Butler,25,SG,CHI,true,65,2513,1301,421,912,386,463,212,379,114,36,93,108
Rasual Butler,35,SF,WAS,true,75,1505,580,218,517,53,67,63,197,29,22,48,98
Dwight Buycks,25,PG,LAL,true,6,123,52,18,40,9,10,14,12,3,0,12,3
Will Bynum,32,SG,WAS,true,7,67,22,10,31,2,4,18,6,1,1,8,9
Bruno Caboclo,19,SF,TOR,true,8,23,10,4,12,0,0,0,2,0,1,4,3
Nick Calathes,25,SG,MEM,true,58,838,243,104,247,24,45,146,106,63,5,61,100
Jose Calderon,33,PG,NYK,true,42,1270,382,147,354,29,32,198,124,31,0,75,76
Kentavious Caldwell-Pope,21,SG,DET,true,82,2587,1043,390,972,110,158,109,255,93,18,94,161
Isaiah Canaan,23,PG,HOU,false,25,369,154,53,131,16,21,29,33,14,0,23,28
Isaiah Canaan,23,PG,PHI,false,22,569,278,93,247,33,39,69,54,15,3,39,55
Clint Capela,20,C,HOU,true,12,90,32,14,29,4,23,2,36,1,9,5,14
DeMarre Carroll,28,SF,ATL,true,70,2189,883,318,653,127,181,118,372,94,17,75,154
Vince Carter,38,SG,MEM,true,66,1091,384,135,406,45,57,79,133,43,14,43,102
Michael Carter-Williams,23,PG,PHI,false,41,1391,613,232,611,117,182,302,254,60,18,174,103
Michael Carter-Williams,23,PG,MIL,false,25,758,353,132,308,85,109,140,99,51,12,79,64
Omri Casspi,26,SF,SAC,true,67,1416,593,209,427,140,191,102,260,31,9,88,107
Mario Chalmers,28,PG,MIA,true,80,2368,813,267,663,206,266,307,206,122,10,173,251
Tyson Chandler,32,C,DAL,true,75,2286,771,293,440,185,257,84,864,42,91,105,169
Wilson Chandler,27,SF,DEN,true,78,2471,1085,418,975,110,142,134,475,58,29,110,231
Will Cherry,23,PG,CLE,true,8,69,15,5,19,3,6,8,5,6,1,4,10
Patrick Christopher,26,SG,UTA,true,4,29,6,3,12,0,0,0,6,1,0,1,6
Earl Clark,27,PF,BRK,true,10,93,27,11,30,1,4,3,23,3,4,6,12
Ian Clark,23,SG,UTA,false,23,161,44,15,44,5,5,10,13,6,2,7,12
Ian Clark,23,SG,DEN,false,7,31,13,4,11,4,4,2,3,3,1,2,8
Jordan Clarkson,22,PG,LAL,true,59,1476,703,267,596,131,158,206,191,51,12,96,109
Victor Claver,26,SF,POR,true,10,76,24,9,20,0,0,1,20,1,1,4,12
Norris Cole,26,PG,MIA,false,47,1148,295,118,306,32,46,165,108,42,8,58,75
Norris Cole,26,PG,NOP,false,28,683,278,112,252,26,35,90,51,15,7,41,49
Darren Collison,27,PG,SAC,true,45,1565,725,260,550,145,184,252,143,67,14,112,95
Nick Collison,34,PF,OKC,true,66,1101,273,106,253,45,65,90,250,35,25,45,156
Mike Conley,27,PG,MEM,true,70,2225,1107,393,882,214,249,375,209,89,14,156,139
Jack Cooley,23,PF,UTA,true,16,87,27,9,22,9,21,1,25,6,3,3,23
Chris Copeland,30,SF,IND,true,50,828,309,112,310,33,45,51,111,11,11,59,78
Bryce Cotton,22,PG,UTA,true,15,159,80,29,69,15,18,15,18,4,0,12,6
DeMarcus Cousins,24,C,SAC,true,59,2013,1421,498,1066,423,541,210,747,90,103,254,241
Robert Covington,24,SF,PHI,true,70,1956,943,299,756,178,217,105,316,97,31,128,189
Allen Crabbe,22,SG,POR,true,51,683,168,63,153,12,16,39,73,19,15,15,74
Jamal Crawford,34,SG,LAC,true,64,1703,1010,332,839,227,252,158,124,59,14,92,108
Jae Crowder,24,SF,DAL,false,25,265,89,33,76,10,11,12,29,15,5,10,26
Jae Crowder,24,SF,BOS,false,57,1382,539,196,469,99,130,82,264,57,20,39,111
Dante Cunningham,27,PF,NOP,true,66,1652,340,155,339,29,47,50,256,46,37,35,101
Jared Cunningham,23,SG,LAC,true,19,89,35,12,33,7,13,10,9,3,0,7,12
Seth Curry,24,PG,PHO,true,2,8,0,0,3,0,0,1,2,0,0,0,2
Stephen Curry,26,PG,GSW,true,80,2613,1900,653,1341,308,337,619,341,163,16,249,158
Samuel Dalembert,33,C,NYK,true,32,544,128,57,130,14,20,29,168,14,41,39,70
Troy Daniels,23,SG,HOU,false,17,108,46,15,47,3,4,4,6,0,0,5,14
Troy Daniels,23,SG,MIN,false,19,154,53,19,59,2,2,13,19,3,0,8,14
Troy Daniels,23,SG,CHO,false,11,135,77,27,59,6,7,5,8,3,1,7,12
Luigi Datome,27,SF,DET,false,3,17,11,5,12,0,0,2,4,1,0,2,1
Luigi Datome,27,SF,BOS,false,18,192,94,38,77,1,1,7,25,1,7,7,14
Brandon Davies,23,PF,PHI,false,20,379,126,49,119,21,33,28,73,17,4,25,54
Brandon Davies,23,PF,BRK,false,7,44,16,6,18,3,4,2,10,1,3,4,5
Anthony Davis,21,PF,NOP,true,68,2455,1656,642,1199,371,461,149,696,100,200,95,141
Ed Davis,25,PF,LAL,true,79,1840,656,282,469,92,189,94,600,49,98,58,202
Glen Davis,29,PF,LAC,true,74,904,294,117,255,60,95,39,169,41,21,39,132
Andre Dawkins,23,SG,MIA,true,4,22,3,1,6,0,0,1,2,0,0,1,3
Austin Daye,26,SF,SAS,false,26,268,103,40,115,4,4,9,61,8,3,18,30
Austin Daye,26,SF,ATL,false,8,76,26,10,26,1,2,8,14,4,2,5,9
Dewayne Dedmon,25,C,ORL,true,59,845,216,91,162,34,64,9,295,16,50,51,141
Matthew Dellavedova,24,SG,CLE,true,67,1380,319,111,307,29,38,204,126,24,2,61,152
Luol Deng,29,SF,MIA,true,72,2421,1007,369,787,191,251,139,376,65,22,108,109
DeMar DeRozan,25,SG,TOR,true,60,2100,1204,409,990,361,434,210,277,73,11,137,122
Boris Diaw,32,PF,SAS,true,81,1984,708,291,632,72,93,233,348,36,23,126,148
Gorgui Dieng,25,C,MIN,true,73,2193,710,259,512,191,244,146,609,71,126,126,188
Spencer Dinwiddie,21,PG,DET,true,34,455,145,51,169,31,34,104,48,19,6,33,53
Joey Dorsey,31,PF,HOU,true,69,854,184,80,145,24,83,25,279,40,25,41,157
Toney Douglas,28,PG,NOP,true,12,177,51,19,51,8,13,24,22,11,4,10,20
Chris Douglas-Roberts,28,SG,LAC,true,12,103,19,5,21,8,8,4,12,1,0,0,14
Goran Dragic,28,SG,PHO,false,52,1735,843,340,679,97,130,211,185,50,9,114,120
Goran Dragic,28,PG,MIA,false,26,905,432,162,323,84,104,139,89,28,6,59,75
Zoran Dragic,25,SG,PHO,false,6,13,6,2,8,2,3,1,3,0,0,0,1
Zoran Dragic,25,SG,MIA,false,10,62,22,9,22,1,2,4,5,2,0,5,5
Larry Drew,24,PG,PHI,true,12,219,46,20,58,2,3,45,15,6,0,25,13
Andre Drummond,21,C,DET,true,82,2502,1130,494,961,142,365,55,1104,73,153,120,285
Jared Dudley,29,SG,MIL,true,72,1717,518,198,423,48,67,130,220,72,11,62,113
Tim Duncan,38,PF,SAS,true,77,2227,1070,419,819,230,311,230,704,63,151,131,165
Mike Dunleavy,34,SF,CHI,true,63,1838,595,209,481,70,87,114,248,39,21,60,123
Kevin Durant,26,SF,OKC,true,27,913,686,238,467,146,171,110,178,24,25,74,40
Cleanthony Early,23,SF,NYK,true,39,647,210,76,214,36,48,36,97,24,12,40,57
Wayne Ellington,27,SG,LAL,true,65,1675,650,254,617,52,64,105,210,33,2,50,77
Monta Ellis,29,SG,DAL,true,80,2699,1513,602,1354,228,303,329,190,148,25,198,197
James Ennis,24,SF,MIA,true,62,1051,312,101,247,79,94,48,176,25,17,39,89
Tyler Ennis,20,PG,PHO,false,8,58,22,9,21,2,2,14,7,0,2,8,3
Tyler Ennis,20,PG,MIL,false,25,353,99,43,123,3,5,59,28,18,3,34,33
Jeremy Evans,27,SF,UTA,true,38,266,90,32,58,24,29,13,71,11,12,5,29
Reggie Evans,34,PF,SAC,true,47,764,176,58,137,60,97,32,299,22,5,45,91
Tyreke Evans,25,SF,NOP,true,79,2690,1313,521,1165,202,291,521,416,100,37,246,198
Dante Exum,19,PG,UTA,true,82,1817,393,145,416,20,32,198,131,41,14,118,147
Festus Ezeli,25,C,GSW,true,46,504,201,76,139,49,78,9,155,7,42,32,77
Kenneth Faried,25,PF,DEN,true,75,2086,946,373,736,199,288,89,668,62,57,118,211
Jordan Farmar,28,PG,LAC,true,36,529,167,61,158,10,11,67,42,20,5,32,52
Derrick Favors,23,PF,UTA,true,74,2280,1187,482,918,222,332,112,607,60,123,121,210
Raymond Felton,30,PG,DAL,true,29,281,108,43,106,12,15,41,26,11,4,18,17
Landry Fields,26,SF,TOR,true,26,216,46,20,41,5,6,15,26,11,0,8,9
Evan Fournier,22,SG,ORL,true,58,1661,698,253,575,107,147,120,153,40,2,82,116
Randy Foye,31,SG,DEN,true,50,1087,435,148,402,45,55,119,85,34,11,60,97
Jamaal Franklin,23,SG,DEN,true,3,13,3,1,2,0,0,3,2,0,1,3,4
Tim Frazier,24,PG,PHI,false,6,171,34,13,43,5,15,43,19,6,0,18,16
Tim Frazier,24,PG,POR,false,5,68,23,8,18,5,6,17,9,2,0,7,10
Jimmer Fredette,25,PG,NOP,true,50,509,178,63,166,43,45,58,40,15,2,33,43
Joel Freeland,27,C,POR,true,48,617,169,74,151,21,25,16,191,9,23,23,93
Channing Frye,31,PF,ORL,true,75,1870,549,191,487,31,35,94,293,47,39,78,191
Danilo Gallinari,26,SF,DEN,true,59,1426,734,228,568,171,191,83,218,47,20,57,94
Langston Galloway,23,PG,NYK,true,45,1457,533,204,511,63,78,150,190,52,12,61,129
Francisco Garcia,33,SF,HOU,true,14,200,45,17,63,1,4,15,17,9,5,10,20
Kevin Garnett,38,PF,BRK,false,42,854,285,125,275,34,41,69,285,41,13,45,96
Kevin Garnett,38,PF,MIN,false,5,98,38,18,31,2,4,8,26,5,4,1,13
Marc Gasol,30,C,MEM,true,81,2687,1413,530,1072,350,440,307,630,70,131,176,208
Pau Gasol,34,PF,CHI,true,78,2681,1446,570,1153,294,366,210,919,25,147,158,147
Rudy Gay,28,SF,SAC,true,68,2408,1432,508,1116,337,393,250,399,71,41,183,157
Alonzo Gee,27,SF,DEN,false,39,511,190,66,137,48,65,19,70,28,6,25,42
Alonzo Gee,27,SF,POR,false,15,151,51,21,49,6,12,6,24,7,1,8,16
Paul George,24,SF,IND,true,6,91,53,18,49,8,11,6,22,5,1,12,11
Taj Gibson,29,PF,CHI,true,62,1692,640,254,506,132,184,71,396,36,75,77,162
Manu Ginobili,37,SG,SAS,true,70,1587,738,251,589,147,204,293,211,67,20,154,138
Rudy Gobert,22,C,UTA,true,82,2158,686,258,427,170,273,109,775,64,189,111,175
Drew Gooden,33,PF,WAS,true,51,864,277,110,276,34,44,49,223,21,9,28,91
Archie Goodwin,20,SG,PHO,true,41,535,231,79,201,61,83,44,74,18,9,48,55
Aaron Gordon,19,PF,ORL,true,47,797,243,93,208,44,61,33,169,21,22,38,83
Ben Gordon,31,SG,ORL,true,56,790,349,129,295,56,67,50,63,14,1,55,60
Drew Gordon,24,PF,PHI,true,9,71,17,8,19,1,2,2,18,1,0,8,7
Eric Gordon,26,SG,NOP,true,61,2018,818,285,694,107,133,229,159,50,14,122,145
Marcin Gortat,30,C,WAS,true,82,2453,1001,439,775,123,175,97,717,49,110,100,191
Danny Granger,31,SF,MIA,true,30,613,188,65,162,28,37,17,80,13,6,24,67
Jerami Grant,20,SF,PHI,true,65,1377,411,124,352,114,193,79,198,40,68,85,144
Danny Green,27,SG,SAS,true,81,2312,946,322,738,111,127,158,343,101,87,93,163
Draymond Green,24,PF,GSW,true,79,2490,921,339,765,132,200,291,647,123,99,133,253
Erick Green,23,PG,DEN,true,43,410,146,61,162,10,12,39,31,12,0,14,26
Gerald Green,29,SG,PHO,true,74,1446,884,324,778,99,120,91,186,42,12,104,145
JaMychal Green,24,PF,SAS,false,4,25,8,4,7,0,0,0,6,0,2,2,6
JaMychal Green,24,PF,MEM,false,20,139,54,23,40,8,10,4,39,5,3,12,19
Jeff Green,28,SF,BOS,false,33,1093,580,206,475,121,144,53,141,27,13,56,66
Jeff Green,28,SF,MEM,false,45,1361,588,210,492,118,143,81,187,26,21,52,81
Willie Green,33,SG,ORL,true,52,951,306,118,306,28,34,68,79,26,5,48,81
Blake Griffin,25,PF,LAC,true,67,2356,1469,574,1144,311,427,354,508,63,35,152,196
Jorge Gutierrez,26,PG,BRK,false,10,44,16,7,14,2,3,7,7,1,0,3,9
Jorge Gutierrez,26,PG,MIL,false,10,131,37,15,27,7,10,15,18,5,0,9,16
P.J. Hairston,22,SG,CHO,true,45,687,254,87,269,31,36,21,92,21,13,22,61
Jordan Hamilton,24,SF,LAC,true,14,122,38,14,35,0,0,7,16,2,0,4,14
Justin Hamilton,24,C,MIA,false,24,289,66,27,65,6,7,12,48,8,5,8,33
Justin Hamilton,24,C,MIN,false,17,423,153,58,113,33,40,24,86,19,25,18,37
Tyler Hansbrough,29,PF,TOR,true,74,1058,270,86,165,97,139,21,265,30,15,20,141
Tim Hardaway,22,SG,NYK,true,70,1681,804,279,717,125,156,127,156,20,14,82,119
James Harden,25,SG,HOU,true,81,2981,2217,647,1470,715,824,565,459,154,60,321,208
Maurice Harkless,21,SF,ORL,true,45,674,158,63,158,22,41,25,106,32,9,27,66
Devin Harris,31,PG,DAL,true,76,1685,665,219,524,132,162,237,135,78,14,85,147
Gary Harris,20,SG,DEN,true,55,719,188,66,217,35,47,29,64,39,7,38,71
Joe Harris,23,SG,CLE,true,51,493,136,48,120,9,15,26,41,7,2,27,62
Tobias Harris,22,SF,ORL,true,68,2369,1164,442,949,193,245,124,430,69,36,115,134
Udonis Haslem,34,PF,MIA,true,62,995,261,107,239,45,64,46,258,21,13,41,113
Spencer Hawes,26,PF,LAC,true,73,1274,425,163,415,44,68,88,258,24,53,61,173
Chuck Hayes,31,C,TOR,true,29,255,50,22,46,6,11,20,51,10,4,8,37
Gordon Hayward,24,SF,UTA,true,76,2618,1463,484,1087,375,462,313,373,108,30,206,131
Brendan Haywood,35,C,CLE,true,22,119,35,14,30,7,13,2,29,2,10,10,17
Gerald Henderson,27,SG,CHO,true,80,2315,969,370,847,184,217,206,273,51,22,110,135
Xavier Henry,23,SF,LAL,true,9,86,20,3,13,14,24,3,4,3,0,3,6
John Henson,24,C,MIL,true,67,1228,470,196,346,78,137,59,312,28,135,87,152
Roy Hibbert,28,C,IND,true,76,1926,802,317,710,168,204,84,540,18,125,107,216
J.J. Hickson,26,C,DEN,true,73,1411,552,218,459,116,201,57,452,36,35,96,136
Nene Hilario,32,PF,WAS,true,67,1693,737,307,601,122,202,123,345,66,22,124,180
George Hill,28,PG,IND,true,43,1267,692,255,535,113,143,220,179,44,14,69,111
Jordan Hill,27,C,LAL,true,70,1874,841,357,777,124,168,103,556,34,52,106,164
Solomon Hill,23,SF,IND,true,82,2381,729,251,634,159,193,184,314,66,18,115,177
Kirk Hinrich,34,SG,CHI,true,66,1610,377,142,381,35,50,148,121,46,14,73,144
Jrue Holiday,24,PG,NOP,true,40,1303,592,238,534,65,76,274,135,63,23,91,110
Justin Holiday,25,SG,GSW,true,59,657,254,91,235,37,45,48,73,40,12,29,54
Ryan Hollins,30,C,SAC,true,46,441,137,53,82,31,54,14,103,6,19,25,65
Rodney Hood,22,SG,UTA,true,50,1064,433,155,374,61,80,83,117,30,12,45,119
Al Horford,28,C,ATL,true,76,2318,1156,519,965,107,141,244,544,68,98,100,121
Dwight Howard,29,C,HOU,true,41,1223,646,251,423,143,271,50,431,28,53,115,137
Lester Hudson,30,SG,LAC,true,5,56,18,6,14,3,4,5,8,6,1,3,4
Robbie Hummel,25,SF,MIN,true,45,742,198,79,172,24,29,27,134,16,9,18,86
Kris Humphries,29,PF,WAS,true,64,1345,509,211,446,87,117,57,416,34,25,46,130
Serge Ibaka,25,PF,OKC,true,64,2116,917,374,786,92,110,55,499,30,155,97,194
Andre Iguodala,31,SG,GSW,true,77,2069,604,231,496,68,114,228,257,89,25,88,100
Ersan Ilyasova,27,PF,MIL,true,58,1319,669,263,557,69,107,56,277,36,19,45,149
Joe Ingles,27,SF,UTA,true,79,1673,396,147,354,30,40,182,175,72,10,98,124
Kyrie Irving,22,PG,CLE,true,75,2730,1628,578,1235,315,365,389,237,114,20,186,146
Jarrett Jack,31,PG,BRK,true,80,2241,957,359,817,200,227,373,245,75,13,191,143
Reggie Jackson,24,PG,OKC,false,50,1398,641,249,576,99,115,214,201,42,5,91,94
Reggie Jackson,24,PG,DET,false,27,870,476,183,420,82,103,248,126,20,4,95,73
Bernard James,29,C,DAL,true,16,158,44,12,27,20,23,4,39,2,15,6,17
LeBron James,30,SF,CLE,true,69,2493,1743,624,1279,375,528,511,416,109,49,272,135
Al Jefferson,30,C,CHO,true,65,1992,1082,486,1010,108,165,113,548,47,84,68,139
Cory Jefferson,24,PF,BRK,true,50,531,183,75,167,31,54,16,145,10,21,20,61
Richard Jefferson,34,SF,DAL,true,74,1244,432,144,324,78,114,61,183,32,11,52,115
John Jenkins,23,SG,ATL,true,24,297,135,49,99,16,19,13,39,10,0,8,15
Brandon Jennings,25,PG,DET,true,41,1173,632,218,543,120,143,272,104,44,4,90,64
Jonas Jerebko,27,PF,DET,false,46,703,241,91,198,31,36,41,142,27,11,26,77
Jonas Jerebko,27,PF,BOS,false,29,527,207,78,181,25,30,30,140,19,7,18,58
Grant Jerrett,21,PF,OKC,false,5,25,7,3,17,0,0,1,4,0,2,2,7
Grant Jerrett,21,PF,UTA,false,3,26,9,4,9,1,1,2,5,2,0,1,4
Amir Johnson,27,PF,TOR,true,75,1979,694,298,519,79,129,117,456,44,59,110,225
Chris Johnson,24,SF,PHI,false,9,187,54,19,60,6,8,3,26,9,5,9,19
Chris Johnson,24,SF,UTA,false,12,211,81,31,64,6,6,7,18,12,0,6,18
Chris Johnson,24,SF,MIL,false,8,128,31,12,30,2,2,5,11,5,2,0,7
James Johnson,27,PF,TOR,true,70,1370,554,238,404,67,102,95,257,54,70,79,155
Joe Johnson,33,SG,BRK,true,80,2791,1154,446,1025,141,176,292,384,59,14,137,120
Nick Johnson,22,SG,HOU,true,28,262,74,26,75,17,25,11,39,7,3,19,34
Tyler Johnson,22,SG,MIA,true,32,603,190,70,167,32,47,42,81,33,9,30,42
Wesley Johnson,27,SF,LAL,true,76,2245,753,286,691,90,112,124,319,59,45,87,162
Dahntay Jones,34,SF,LAC,true,33,123,21,6,21,9,11,2,11,3,0,1,23
James Jones,34,SF,CLE,true,57,669,250,74,201,39,46,24,62,13,8,13,67
Perry Jones,23,SF,OKC,true,43,631,184,73,184,24,37,18,76,17,8,24,50
