player,age,position,team,played_whole_season,games_played,minutes_played,total_points,field_goals,field_goals_attempted,free_throws,free_throws_attempted,assists,rebounds,steals,blocks,turnovers,personal_fouls
Terrence Jones,23,PF,HOU,true,33,889,386,158,299,57,94,36,220,18,59,37,78
DeAndre Jordan,26,C,LAC,true,82,2820,946,379,534,187,471,61,1226,81,183,109,245
Jerome Jordan,28,C,BRK,true,44,383,138,50,94,38,44,13,105,8,15,22,58
Cory Joseph,23,PG,SAS,true,79,1444,535,207,411,105,143,188,192,46,17,67,105
Chris Kaman,32,C,POR,true,74,1398,638,283,549,72,102,65,484,18,54,108,140
Enes Kanter,22,C,UTA,false,49,1326,678,286,582,93,118,26,384,23,16,93,114
Enes Kanter,22,C,OKC,false,26,809,485,196,346,90,116,29,287,13,13,52,75
Sergey Karasev,21,SG,BRK,true,33,555,153,54,134,29,38,46,66,23,1,24,45
Ryan Kelly,23,PF,LAL,true,52,1233,332,104,309,79,95,92,146,30,24,37,118
Michael Kidd-Gilchrist,21,SF,CHO,true,55,1587,598,224,482,150,214,77,416,30,38,63,115
Sean Kilpatrick,25,SG,MIN,true,4,72,22,7,20,4,4,4,6,3,0,2,3
Andrei Kirilenko,33,SF,BRK,true,7,36,3,0,5,3,4,1,8,1,0,1,1
Alex Kirk,23,C,CLE,true,5,14,4,1,4,2,2,1,1,0,0,0,1
Brandon Knight,23,PG,MIL,false,52,1688,923,324,745,171,194,281,221,84,9,166,93
Brandon Knight,23,SG,PHO,false,11,347,147,51,143,24,29,49,23,6,1,23,21
Kyle Korver,33,SG,ATL,true,75,2418,911,292,600,106,118,196,304,52,42,107,140
Kosta Koufos,25,C,MEM,true,81,1348,419,182,358,55,85,37,426,29,63,69,148
Ognjen Kuzmic,24,C,GSW,true,16,72,20,8,12,4,4,6,17,2,1,5,13
Jeremy Lamb,22,SG,OKC,true,47,633,295,104,250,49,55,44,107,21,6,27,52
Carl Landry,31,PF,SAC,true,70,1192,503,190,369,123,150,26,268,15,17,54,132
Shane Larkin,22,PG,NYK,true,76,1865,470,187,432,61,78,226,176,93,9,83,150
Joffrey Lauvergne,23,C,DEN,true,24,268,93,36,89,18,28,13,77,8,10,22,43
Zach LaVine,19,PG,MIN,true,77,1902,778,286,677,149,177,276,214,54,10,193,158
Ty Lawson,27,PG,DEN,true,75,2665,1143,404,926,265,363,720,234,92,9,185,128
Ricky Ledo,22,SG,DAL,false,5,11,1,0,6,1,2,1,2,0,0,2,1
Ricky Ledo,22,SG,NYK,false,12,233,89,32,90,15,20,18,34,6,1,24,20
Courtney Lee,29,SG,MEM,true,77,2354,777,288,643,111,129,151,178,75,12,78,129
David Lee,31,PF,GSW,true,49,904,388,160,313,68,104,85,257,31,26,49,83
Malcolm Lee,24,SG,PHI,true,1,2,0,0,1,0,0,0,0,0,0,0,0
Alex Len,21,C,PHO,true,69,1518,432,179,353,73,104,32,454,34,105,74,213
Kawhi Leonard,23,SF,SAS,true,64,2033,1057,394,822,202,252,161,461,148,48,97,128
Meyers Leonard,22,C,POR,true,55,847,327,125,245,30,32,32,250,10,14,39,113
Jon Leuer,25,PF,MEM,true,63,824,286,121,273,37,59,46,207,17,9,35,86
Damian Lillard,24,PG,POR,true,82,2925,1720,590,1360,344,398,507,378,97,21,222,164
Jeremy Lin,26,PG,LAL,true,74,1907,832,277,654,213,268,339,196,82,32,166,189
Shaun Livingston,29,PG,GSW,true,78,1468,461,198,396,65,91,259,183,49,20,102,110
Brook Lopez,26,C,BRK,true,72,2100,1236,506,987,223,274,50,535,43,126,104,206
Robin Lopez,26,C,POR,true,59,1638,566,234,437,98,127,55,394,16,84,73,122
Kevin Love,26,PF,CLE,true,75,2532,1228,413,952,258,321,168,731,51,39,122,140
Kyle Lowry,28,PG,TOR,true,70,2414,1244,430,1043,252,312,473,328,109,13,173,212
Kalin Lucas,25,PG,MEM,true,1,6,0,0,1,0,0,0,0,1,0,0,1
John Lucas III,32,PG,DET,true,21,272,98,42,104,5,5,60,16,8,0,16,18
Shelvin Mack,24,PG,ATL,true,55,833,299,117,292,25,31,155,79,30,2,49,32
Ian Mahinmi,28,C,IND,true,61,1146,265,117,212,31,102,33,356,30,46,59,172
Devyn Marble,22,SG,ORL,true,16,208,37,14,44,5,16,17,31,9,2,9,14
Shawn Marion,36,SF,CLE,true,57,1101,276,119,267,26,34,51,202,27,27,33,58
Kendall Marshall,23,PG,MIL,true,28,417,118,46,101,8,9,86,28,21,0,35,26
Cartier Martin,30,SF,DET,true,23,198,36,15,53,0,0,11,20,3,1,5,20
Kenyon Martin,37,PF,MIL,true,11,104,20,9,22,2,2,5,19,5,6,3,13
Kevin Martin,31,SG,MIN,true,39,1302,779,267,625,170,193,89,142,33,1,76,76
Wesley Matthews,28,SG,POR,true,60,2024,956,337,752,109,145,139,222,77,10,81,132
Jason Maxiell,31,PF,CHO,true,61,878,203,81,192,41,71,19,203,18,44,29,96
O.J. Mayo,27,SG,MIL,true,71,1697,806,296,701,115,139,197,187,57,18,128,165
Luc Mbah a Moute,28,PF,PHI,true,67,1916,660,251,636,96,163,106,328,81,21,99,104
James Michael McAdoo,22,PF,GSW,true,15,137,62,24,44,14,25,2,37,5,9,6,21
Ray McCallum,23,PG,SAC,true,68,1436,503,206,470,57,84,188,180,45,11,85,92
C.J. McCollum,23,SG,POR,true,62,973,424,159,365,51,73,64,91,43,8,48,81
K.J. McDaniels,21,SG,PHI,false,52,1319,476,167,419,99,131,70,195,44,68,104,121
K.J. McDaniels,21,SG,HOU,false,10,33,11,5,15,1,2,2,5,0,2,1,5
Doug McDermott,23,SF,CHI,true,36,321,109,43,107,10,15,6,43,4,1,17,29
Mitch McGary,22,PF,OKC,true,32,485,201,88,165,25,40,14,165,16,16,31,72
JaVale McGee,27,C,DEN,false,17,195,88,34,61,20,29,1,48,2,19,13,28
JaVale McGee,27,C,PHI,false,6,61,18,8,18,2,4,2,13,0,1,5,2
Ben McLemore,21,SG,SAC,true,82,2670,996,363,831,130,160,140,241,77,19,138,219
Jerel McNeal,27,PG,PHO,true,6,36,9,3,11,2,2,2,3,3,1,5,5
Josh McRoberts,27,PF,MIA,true,17,296,72,28,53,8,13,33,45,12,3,22,41
Jodie Meeks,27,SG,DET,true,60,1462,663,222,534,145,160,79,104,59,6,57,76
Gal Mekel,26,PG,NOP,true,4,43,6,3,20,0,0,13,1,2,0,2,1
Khris Middleton,23,SF,MIL,true,79,2378,1055,406,869,134,156,182,347,122,11,113,183
C.J. Miles,27,SG,IND,true,70,1841,942,329,827,130,161,75,214,60,26,73,132
Andre Miller,38,PG,WAS,false,51,631,183,77,142,28,39,143,77,14,2,46,56
Andre Miller,38,PG,SAC,false,30,622,172,68,148,30,38,141,76,18,4,58,47
Darius Miller,24,SF,NOP,true,5,43,2,1,7,0,0,2,1,1,0,1,8
Mike Miller,34,SF,CLE,true,52,701,109,37,114,3,4,46,91,14,4,23,74
Quincy Miller,22,PF,SAC,false,6,61,17,4,18,8,11,3,12,6,3,3,4
Quincy Miller,22,PF,DET,false,4,58,12,5,20,0,0,5,8,1,2,2,5
Patrick Mills,26,PG,SAS,true,51,801,351,128,336,33,40,87,75,28,2,35,58
Elijah Millsap,27,SG,UTA,true,47,924,248,81,238,58,86,58,150,56,16,67,124
Paul Millsap,29,PF,ATL,true,73,2390,1218,443,930,255,337,223,570,130,69,166,201
Nikola Mirotic,23,PF,CHI,true,82,1654,833,253,624,228,284,97,404,54,54,89,172
Nazr Mohammed,37,C,CHI,true,23,128,27,13,30,1,3,3,38,4,5,7,16
Greg Monroe,24,PF,DET,true,69,2137,1098,423,853,252,336,142,704,78,34,149,148
E'Twaun Moore,25,SG,CHI,true,56,504,149,62,139,12,20,33,46,20,6,14,45
Eric Moreland,23,PF,SAC,true,3,2,2,1,1,0,0,0,1,0,0,0,1
Darius Morris,24,PG,BRK,true,38,299,83,36,106,4,9,48,27,9,0,21,20
Marcus Morris,25,PF,PHO,true,81,2045,845,331,763,71,113,133,385,63,16,73,188
Markieff Morris,25,PF,PHO,true,82,2581,1258,512,1100,177,232,192,506,101,39,170,245
Anthony Morrow,29,SG,OKC,true,74,1806,790,285,615,79,89,60,195,54,11,38,135
Donatas Motiejunas,24,PF,HOU,true,71,2037,855,353,700,100,166,130,421,56,34,123,203
Timofey Mozgov,28,C,DEN,false,35,897,299,117,232,63,86,16,272,15,41,47,114
Timofey Mozgov,28,C,CLE,false,46,1148,486,197,334,92,130,39,319,18,56,69,113
Shabazz Muhammad,22,SG,MIN,true,38,866,512,194,397,104,145,44,154,18,7,35,49
Toure' Murry,25,PG,UTA,false,1,1,0,0,1,0,0,0,0,0,0,0,0
Toure' Murry,25,SG,WAS,false,4,17,6,2,4,2,2,1,1,1,0,4,2
Mike Muscala,23,PF,ATL,true,40,502,197,83,151,22,25,25,119,16,19,21,52
Shabazz Napier,23,PG,MIA,true,51,1012,261,87,228,44,56,130,113,40,4,81,76
Gary Neal,30,SG,CHO,false,43,931,413,143,398,88,102,80,94,16,1,55,70
Gary Neal,30,SG,MIN,false,11,262,130,45,105,29,33,20,35,7,0,10,18
Jameer Nelson,32,PG,DAL,false,23,584,167,61,163,7,8,95,63,15,2,39,53
Jameer Nelson,32,PG,BOS,false,6,121,29,9,41,6,9,33,17,7,0,9,13
Jameer Nelson,32,PG,DEN,false,34,702,327,135,300,11,19,125,66,25,4,61,70
Andrew Nicholson,25,PF,ORL,true,40,492,194,83,190,15,25,22,82,6,12,24,51
Joakim Noah,29,C,CHI,true,67,2049,485,190,427,105,174,312,646,48,74,123,203
Nerlens Noel,20,C,PHI,true,75,2311,744,302,653,140,230,128,611,133,142,146,208
Lucas Nogueira,22,C,TOR,true,6,23,6,2,8,2,4,1,11,2,0,2,6
Steve Novak,31,SF,UTA,false,22,109,48,16,35,0,2,6,16,0,1,3,13
Steve Novak,31,PF,OKC,false,13,88,15,6,21,0,0,5,6,0,1,2,10
Dirk Nowitzki,36,PF,DAL,true,77,2282,1333,487,1062,255,289,143,457,39,33,82,160
Jusuf Nurkic,20,C,DEN,true,62,1103,426,171,383,84,132,50,382,52,68,86,207
Johnny O'Bryant,21,PF,MIL,true,34,368,100,44,120,12,27,17,64,5,4,25,44
Kyle O'Quinn,24,PF,ORL,true,51,824,294,119,242,44,57,59,199,31,39,55,110
Victor Oladipo,22,SG,ORL,true,72,2573,1292,473,1086,262,320,295,302,120,19,204,187
Kelly Olynyk,23,C,BOS,true,64,1423,656,251,528,93,136,109,303,64,39,98,213
Arinze Onuaku,27,C,MIN,true,6,68,27,12,14,3,8,4,21,1,3,2,6
Zaza Pachulia,30,C,MIL,true,73,1730,606,240,529,126,160,178,500,80,21,133,170
Kostas Papanikolaou,24,SF,HOU,true,43,795,182,69,197,13,18,85,118,29,13,55,71
Jannero Pargo,35,PG,CHO,true,9,73,41,15,35,2,2,8,3,0,0,3,8
Jabari Parker,19,SF,MIL,true,25,738,308,129,263,46,66,42,138,31,5,47,42
Tony Parker,32,PG,SAS,true,68,1953,976,404,832,130,166,335,129,44,2,146,108
Chandler Parsons,26,SF,DAL,true,66,2186,1037,383,829,139,193,161,323,69,19,96,140
Patrick Patterson,25,PF,TOR,true,81,2156,648,240,535,63,80,155,433,60,44,54,149
Chris Paul,29,PG,LAC,true,82,2857,1564,568,1170,289,321,838,376,156,15,190,203
Adreian Payne,23,PF,ATL,false,3,19,5,2,7,1,2,0,4,1,0,0,4
Adreian Payne,23,PF,MIN,false,29,720,208,89,213,29,44,30,158,18,9,44,84
Elfrid Payton,20,PG,ORL,true,82,2489,731,301,708,118,214,533,349,142,20,203,193
Nikola Pekovic,29,C,MIN,true,31,815,386,139,328,108,129,27,234,19,12,42,59
Kendrick Perkins,30,C,OKC,false,51,981,202,82,186,38,75,43,279,14,38,74,135
Kendrick Perkins,30,C,CLE,false,17,167,44,20,41,4,8,8,41,2,4,21,27
Paul Pierce,37,SF,WAS,true,73,1914,868,293,656,164,210,144,294,46,24,92,160
Mason Plumlee,24,C,BRK,true,82,1743,717,280,489,157,317,74,512,65,63,106,207
Miles Plumlee,26,C,PHO,false,54,1005,233,107,195,19,38,27,274,35,55,45,99
Miles Plumlee,26,C,MIL,false,19,189,61,29,59,3,8,7,46,6,11,6,12
Quincy Pondexter,26,SG,MEM,false,30,540,134,48,135,21,30,28,57,5,5,10,47
Quincy Pondexter,26,SF,NOP,false,45,1253,404,140,312,50,66,66,138,14,19,41,103
Otto Porter,21,SF,WAS,true,74,1432,445,176,391,58,79,65,221,44,30,52,97
Dwight Powell,23,PF,BOS,false,5,9,9,4,5,1,2,0,1,2,0,2,1
Dwight Powell,23,PF,DAL,false,24,227,81,27,62,24,31,9,49,7,6,9,39
Phil Pressey,23,PG,BOS,true,50,600,177,64,174,33,49,117,80,30,6,41,54
A.J. Price,28,PG,IND,false,10,193,105,39,89,12,18,27,14,4,0,10,9
A.J. Price,28,PG,CLE,false,11,87,22,9,34,4,6,13,15,3,0,3,1
A.J. Price,28,PG,PHO,false,5,44,6,3,14,0,0,6,3,0,0,1,5
Ronnie Price,31,PG,LAL,true,43,982,221,77,223,36,45,165,69,67,4,52,118
Pablo Prigioni,37,PG,NYK,false,43,795,201,68,161,22,26,104,80,52,1,47,53
Pablo Prigioni,37,PG,HOU,false,24,402,73,23,67,13,15,67,39,27,0,15,35
Tayshaun Prince,34,SF,MEM,false,26,628,190,75,183,25,30,37,83,9,6,15,22
Tayshaun Prince,34,SF,BOS,false,9,198,76,33,59,5,6,18,30,5,2,4,7
Tayshaun Prince,34,SF,DET,false,23,571,168,69,160,19,29,38,97,15,8,16,26
Miroslav Raduljica,27,C,MIN,true,5,23,8,3,8,2,2,0,5,1,0,2,8
Julius Randle,20,PF,LAL,true,1,14,2,1,3,0,2,0,0,0,0,1,1
Shavlik Randolph,31,PF,PHO,false,16,101,17,6,25,5,10,3,26,4,2,2,13
Shavlik Randolph,31,PF,BOS,false,5,25,7,3,10,1,2,1,12,1,1,1,3
Zach Randolph,33,PF,MEM,true,71,2304,1143,454,932,228,298,153,747,69,14,156,175
J.J. Redick,30,SG,LAC,true,78,2409,1277,447,938,183,203,137,167,39,8,95,134
Glen Rice,24,SG,WAS,true,5,43,11,3,15,4,6,2,4,0,0,2,11
Jason Richardson,34,SG,PHI,true,19,416,172,62,178,17,22,38,66,13,3,16,28
Luke Ridnour,33,PG,ORL,true,47,683,188,75,176,18,21,96,68,20,4,38,67
Austin Rivers,22,SG,NOP,false,35,772,239,86,222,53,71,87,68,18,7,30,65
Austin Rivers,22,PG,LAC,false,41,791,291,117,274,32,55,68,84,30,7,35,81
Andre Roberson,23,SG,OKC,true,67,1286,228,92,201,23,48,70,255,53,29,46,141
Brian Roberts,29,PG,CHO,true,72,1330,480,176,452,66,74,162,109,33,6,57,75
Nate Robinson,30,PG,DEN,false,33,465,192,71,204,26,40,77,39,14,3,22,68
Nate Robinson,30,PG,LAC,false,9,126,46,17,51,5,6,20,11,6,0,8,8
Thomas Robinson,23,PF,POR,false,32,391,115,47,91,21,48,9,133,16,11,33,54
Thomas Robinson,23,PF,PHI,false,22,407,193,79,169,35,58,24,170,16,9,26,50
Glenn Robinson III,21,SG,MIN,false,25,108,29,8,24,12,16,3,14,3,0,3,5
Glenn Robinson III,21,SF,PHI,false,10,153,44,18,43,4,8,8,25,3,1,8,10
Rajon Rondo,28,PG,BOS,false,22,699,182,81,200,12,36,237,165,37,3,75,42
Rajon Rondo,28,PG,DAL,false,46,1319,426,194,445,19,42,301,208,54,4,135,111
Derrick Rose,26,PG,CHI,true,51,1530,904,338,835,152,187,251,161,36,16,161,63
Terrence Ross,23,SF,TOR,true,82,2092,807,309,753,44,56,86,226,53,25,69,136
Ricky Rubio,24,PG,MIN,true,22,692,226,78,219,57,71,193,125,38,1,64,59
Damjan Rudez,28,SF,IND,true,68,1047,323,119,263,16,23,53,47,16,5,47,79
Brandon Rush,29,SG,GSW,true,33,271,30,11,54,5,11,12,41,5,12,11,27
Robert Sacre,25,C,LAL,true,67,1133,307,126,306,55,82,55,233,28,43,36,121
John Salmons,35,SF,NOP,true,21,270,42,16,48,2,4,13,21,9,4,5,25
JaKarr Sampson,21,SF,PHI,true,74,1131,386,146,346,63,94,77,163,38,26,76,135
Larry Sanders,26,C,MIL,true,27,586,196,86,172,24,48,23,166,26,39,28,104
Dennis Schroder,21,PG,ATL,true,77,1516,768,284,665,148,179,317,164,49,4,150,127
Luis Scola,34,PF,IND,true,81,1659,763,300,642,158,226,105,526,47,18,94,192
Mike Scott,26,PF,ATL,true,68,1123,529,201,453,61,77,75,199,25,3,39,83
Thabo Sefolosha,30,SF,ATL,true,52,976,278,104,249,45,58,75,223,53,21,38,67
Kevin Seraphin,25,C,WAS,true,79,1235,520,231,450,58,82,59,288,10,59,98,197
Ramon Sessions,28,PG,SAC,false,36,642,196,63,183,64,88,96,69,13,0,51,45
Ramon Sessions,28,PG,WAS,false,28,546,206,62,151,69,85,86,75,16,0,35,28
Iman Shumpert,24,SG,NYK,false,24,625,224,88,215,25,37,78,81,30,3,42,67
Iman Shumpert,24,SG,CLE,false,38,920,272,105,256,18,27,57,143,51,13,49,71
Alexey Shved,26,SG,PHI,false,17,285,169,52,130,48,57,46,22,14,1,18,21
Alexey Shved,26,SG,HOU,false,9,59,29,8,24,9,11,3,4,1,0,5,2
Alexey Shved,26,SG,NYK,false,16,423,236,73,181,64,82,57,73,15,5,25,25
Henry Sims,24,C,PHI,true,73,1399,586,238,502,106,137,79,359,39,30,99,135
Kyle Singler,26,SF,DET,false,54,1287,385,140,350,29,36,67,139,33,14,42,98
Kyle Singler,26,SF,OKC,false,26,456,95,32,96,11,16,18,55,14,7,13,55
Donald Sloan,27,PG,IND,true,53,1107,391,145,355,60,77,190,143,23,0,65,47
Marcus Smart,20,PG,BOS,true,67,1808,523,175,477,82,127,208,222,99,18,90,176
Greg Smith,24,PF,DAL,true,42,363,80,30,49,20,39,9,79,7,11,11,53
Ish Smith,26,PG,OKC,false,30,155,37,15,45,6,9,28,27,4,1,9,12
Ish Smith,26,PG,PHI,false,25,677,301,128,322,28,48,152,73,32,5,69,38
J.R. Smith,29,SG,NYK,false,24,619,261,101,251,27,39,81,58,18,4,45,44
J.R. Smith,29,SG,CLE,false,46,1461,586,214,504,27,33,114,160,64,18,52,119
Jason Smith,28,C,NYK,true,82,1785,656,257,592,127,153,140,324,32,44,104,205
Josh Smith,29,PF,DET,false,28,896,367,153,391,52,111,132,202,37,48,72,82
Josh Smith,29,PF,HOU,false,55,1404,660,261,596,75,144,145,328,50,68,134,146
Russ Smith,23,PG,NOP,false,6,29,5,2,10,0,0,2,3,0,0,7,6
Russ Smith,23,PG,MEM,false,6,36,25,6,15,12,13,6,3,3,0,5,7
Tony Snell,23,SF,CHI,true,72,1412,435,159,371,44,55,62,176,32,11,48,86
Marreese Speights,27,PF,GSW,true,76,1207,791,318,646,150,178,72,325,20,34,82,189
Tiago Splitter,30,C,SAS,true,52,1030,428,169,303,90,120,78,252,35,37,60,103
Nik Stauskas,21,SG,SAC,true,73,1127,319,108,296,55,64,67,88,20,17,40,92
Lance Stephenson,24,SG,CHO,true,61,1573,501,207,550,69,110,240,277,38,8,128,134
Greg Stiemsma,29,C,TOR,true,17,66,14,6,8,2,4,3,15,2,0,7,15
David Stockton,23,PG,SAC,true,3,33,8,2,6,3,6,9,2,2,0,4,1
Jarnell Stokes,21,PF,MEM,true,19,126,57,21,37,15,28,4,34,5,5,7,25
Amar'e Stoudemire,32,PF,NYK,false,36,865,432,169,311,94,127,37,245,20,34,63,111
Amar'e Stoudemire,32,PF,DAL,false,23,380,248,104,179,40,59,8,84,9,4,15,50
Rodney Stuckey,28,PG,IND,true,71,1874,896,332,754,177,216,219,248,56,10,118,131
Jared Sullinger,22,PF,BOS,true,58,1566,770,311,708,96,129,134,441,44,42,78,153
Jeffery Taylor,25,SF,CHO,true,29,430,127,45,114,26,41,22,53,12,1,19,36
Jeff Teague,26,PG,ATL,true,73,2228,1162,408,887,275,319,513,184,125,31,205,139
Mirza Teletovic,29,PF,BRK,true,40,892,339,122,319,33,46,46,194,14,16,53,74
Sebastian Telfair,29,PG,OKC,true,16,327,134,46,125,24,34,45,30,10,0,18,29
Garrett Temple,28,SG,WAS,true,52,735,204,68,170,35,48,56,90,42,9,34,76
Jason Terry,37,SG,HOU,true,77,1641,541,188,446,39,48,147,121,66,19,74,116
Isaiah Thomas,25,PG,PHO,false,46,1181,701,218,512,184,211,171,109,45,5,89,105
Isaiah Thomas,25,PG,BOS,false,21,545,400,117,285,118,137,113,44,12,0,54,45
Lance Thomas,26,SF,OKC,false,22,450,113,45,126,23,33,20,75,11,0,17,38
Lance Thomas,26,PF,NYK,false,40,1040,330,137,316,49,66,49,120,26,8,57,63
Malcolm Thomas,26,PF,PHI,true,17,194,45,18,40,9,13,7,56,3,1,13,17
Tyrus Thomas,28,PF,MEM,true,2,7,4,1,1,2,2,1,0,0,0,0,0
Hollis Thompson,23,SG,PHI,true,71,1776,626,224,543,63,89,85,198,57,26,66,141
Jason Thompson,28,PF,SAC,true,81,1991,491,201,428,89,143,85,530,33,57,84,239
Klay Thompson,24,SG,GSW,true,77,2455,1668,602,1299,225,256,222,247,87,60,149,122
Tristan Thompson,23,PF,CLE,true,82,2194,693,267,488,159,248,39,657,34,61,83,189
Marcus Thornton,27,SG,BOS,false,39,640,348,127,305,42,51,34,73,21,7,22,35
Marcus Thornton,27,SG,PHO,false,9,81,32,13,40,4,5,2,13,6,0,5,3
Anthony Tolliver,29,PF,PHO,false,24,272,80,26,74,4,6,10,44,4,1,11,20
Anthony Tolliver,29,PF,DET,false,52,1160,402,135,319,50,63,49,192,20,15,40,117
P.J. Tucker,29,SF,PHO,true,78,2383,713,261,596,104,143,122,502,107,23,96,179
Ronny Turiaf,32,C,MIN,true,2,19,0,0,0,0,0,2,1,0,0,0,0
Hedo Turkoglu,35,SF,LAC,true,62,705,232,83,188,6,11,37,99,19,7,29,66
Evan Turner,26,SG,BOS,true,82,2260,779,320,746,106,141,449,417,83,19,198,180
Ekpe Udoh,27,PF,LAC,true,33,128,29,11,24,7,9,8,26,8,7,7,20
Beno Udrih,32,PG,MEM,true,79,1494,605,246,505,87,102,220,143,46,8,89,88
Jonas Valanciunas,22,C,TOR,true,80,2096,963,373,652,217,276,39,693,33,95,109,222
Anderson Varejao,32,C,CLE,true,26,636,255,111,200,33,45,35,170,19,16,35,58
Greivis Vasquez,28,PG,TOR,true,82,1991,775,296,725,50,66,302,216,46,10,119,177
Charlie Villanueva,30,PF,DAL,true,64,678,403,150,362,20,35,19,149,15,22,28,64
Noah Vonleh,19,PF,CHO,true,25,259,83,30,76,18,26,4,86,4,9,11,20
Nikola Vucevic,24,C,ORL,true,74,2529,1428,631,1206,164,218,147,810,54,54,148,220
Dwyane Wade,33,SG,MIA,true,62,1971,1331,509,1084,284,370,299,219,73,21,209,105
Dion Waiters,23,SG,CLE,false,33,786,345,138,342,47,60,74,57,44,10,50,59
Dion Waiters,23,SG,OKC,false,47,1422,595,237,604,70,112,89,135,46,11,63,96
Henry Walker,27,SF,MIA,true,24,628,175,58,168,14,18,29,82,24,9,24,76
Kemba Walker,24,PG,CHO,true,62,2119,1075,378,981,234,283,318,220,89,31,100,92
John Wall,24,PG,WAS,true,79,2837,1387,519,1166,284,362,792,366,138,45,304,180
Gerald Wallace,32,SF,BOS,true,32,286,35,14,34,6,15,11,57,15,4,18,19
T.J. Warren,21,SF,PHO,true,40,614,245,113,214,14,19,25,85,18,9,27,51
C.J. Watson,30,PG,IND,true,57,1422,570,181,417,138,167,208,163,57,9,100,107
David Wear,24,PF,SAC,true,2,7,0,0,2,0,0,1,2,0,0,0,1
Travis Wear,24,SF,NYK,true,51,672,199,84,209,20,26,40,106,15,11,35,55
Martell Webster,28,SF,WAS,true,32,352,106,24,91,48,64,17,46,7,1,22,24
David West,34,PF,IND,true,66,1895,769,323,686,119,161,223,449,48,48,120,160
Russell Westbrook,26,PG,OKC,true,67,2302,1886,627,1471,546,654,574,488,140,14,293,184
Hassan Whiteside,25,C,MIA,true,48,1142,564,243,387,78,156,6,482,27,123,58,129
Shayne Whittington,23,PF,IND,true,20,108,57,19,42,18,23,6,29,5,2,5,18
Andrew Wiggins,19,SG,MIN,true,82,2969,1387,497,1137,354,466,170,374,86,50,177,190
C.J. Wilcox,24,SG,LAC,true,21,101,41,16,38,2,2,8,7,3,1,10,7
Deron Williams,30,PG,BRK,true,68,2114,884,298,771,201,241,448,237,64,17,154,157
Derrick Williams,23,PF,SAC,true,74,1462,617,217,485,134,196,50,202,34,4,56,67
Elliot Williams,25,SG,UTA,false,5,42,18,6,13,1,2,4,3,2,0,4,1
Elliot Williams,25,SG,NOP,false,8,77,19,8,24,0,2,8,5,2,0,0,11
Lou Williams,28,SG,TOR,true,80,2016,1242,375,928,340,395,164,151,88,10,101,103
Marvin Williams,28,PF,CHO,true,78,2035,577,210,495,62,87,100,386,69,36,60,146
Mo Williams,32,PG,MIN,false,41,1149,499,180,447,80,94,261,98,30,8,102,103
Mo Williams,32,PG,CHO,false,27,831,465,161,413,83,93,163,76,16,6,70,59
Reggie Williams,28,SF,SAS,true,20,105,37,15,39,4,4,10,17,1,0,2,12
Shawne Williams,28,SF,MIA,false,44,924,292,102,240,28,33,36,139,21,17,23,116
Shawne Williams,28,SF,DET,false,19,163,49,19,60,7,7,8,27,4,4,7,19
Jeff Withey,24,C,NOP,true,37,259,98,32,64,34,50,11,64,4,18,12,26
Nate Wolters,23,PG,MIL,false,11,142,25,12,31,1,4,10,16,5,0,3,11
Nate Wolters,23,PG,NOP,false,10,105,17,8,26,1,2,11,18,3,2,10,7
Brandan Wright,27,PF,DAL,false,27,505,238,101,135,36,48,10,110,17,42,13,44
Brandan Wright,27,PF,BOS,false,8,86,26,12,21,2,4,8,17,1,5,5,4
Brandan Wright,27,PF,PHO,false,40,858,280,120,207,40,60,23,194,32,47,16,54
Dorell Wright,29,SF,POR,true,48,592,219,72,190,34,42,41,111,20,11,18,55
Tony Wroten,21,SG,PHI,true,30,895,507,175,434,120,180,157,86,48,8,113,72
James Young,19,SG,BOS,true,31,332,105,36,102,16,29,13,42,8,2,5,22
Nick Young,29,SG,LAL,true,42,1000,563,174,476,132,148,41,96,23,11,44,83
Thaddeus Young,26,PF,MIN,false,48,1605,685,289,641,88,129,135,245,86,17,75,115
Thaddeus Young,26,PF,BRK,false,28,829,386,162,327,43,71,38,166,38,8,42,56
Cody Zeller,22,C,CHO,true,62,1487,472,172,373,127,164,100,362,34,49,62,156
Tyler Zeller,25,C,BOS,true,82,1731,833,340,619,153,186,113,465,18,52,76,205
